time_id,FEC0,FEC1,FEC2,FEC3
20251001/0124_04,191.607855950077,163.59416551187562,198.9354547936552,194.41700727790004
20251001/0127_58,189.33282421482926,274.49578590120126,201.61368070752897,195.02074133758768
20251001/0133_40,189.38755349212002,274.6396729927639,203.8587869151015,192.77932245275835
20251001/0138_47,189.41958173967726,274.1005878302678,203.9876707271249,193.86463514517297
20251001/0150_03,224.27680906547752,275.505918196554,202.63959540015526,193.85188615128087
20251001/0156_57,189.72804805654863,271.3592341310687,202.97023664019866,193.83787603630455
20251001/0203_18,188.86748421428314,273.47624812068227,203.72722934034158,193.79830298902374
20251001/0207_53,189.79993293552792,275.92512224963986,202.91044508675085,194.93116797660275
20251001/0213_23,187.66602167434377,278.4481844659445,204.1361470008365,193.88094034524744
20251001/0217_09,190.15567031315592,275.2105428653824,206.13893798034104,194.56349338583422
20251001/0229_01,188.89975746170308,276.0543183658937,202.10828432511926,192.15692196240323
20251001/0234_38,189.8519169301195,275.73397162510065,200.6763833595646,195.4823335679546
20251001/0247_07,188.72726911821323,273.44979587803743,202.2769474346998,193.1681854237572
20251001/0310_58,188.9187773768747,276.312690353805,202.32531649484423,193.90513555503495
20251001/0319_33,188.94262740860322,274.5611835657698,204.14781152851583,189.78338519884676
20251001/0336_22,189.28572847950892,274.8183483383621,207.6799942379014,192.44997423768135
