time,FEC0,FEC1,FEC2,FEC3
20251001/0304_37,188.86778880486207,275.5504522019759,202.31243835933407,193.7089245137933
20251001/0305_57,188.87849506670202,275.7105022076093,202.31514242978238,193.75012368255796
20251001/0308_13,188.89669571182986,275.9825872171861,202.31973934954456,193.82016226945788
20251001/0309_33,188.90740197366978,276.1426372228195,202.32244341999288,193.86136143822253
20251001/0311_52,188.9212781569006,276.12903721486543,202.51641306148164,193.47295202254145
20251001/0313_12,188.9249830161982,275.8569584905104,202.79951908612966,192.83268012255107
20251001/0314_40,188.9290583614256,275.55767189371994,203.1109357132425,192.1283810325616
20251001/0316_00,188.93276322072325,275.2855931693649,203.3940417378905,191.4881091325712
20251001/0327_34,189.1061869874988,274.6837764851126,205.83163698264315,191.05457382885612
20251001/0328_54,189.13339024386397,274.7041661598474,206.11169111222773,191.26599813322355
20251001/0332_54,189.21500001295948,274.7653351840517,206.95185350098149,191.90027104632597
20251001/0334_14,189.24220326932465,274.78572485878647,207.2319076305661,192.11169535069342
